Date_Pulled,Date,South_Demand_level,OPAL_Price,OPAL_Price_Level,South_price_level,Central_Demand_level,Hilton_Price,Hilton_Price_Level,Central_price_level,Central_Flight_level_,South_META_Search_Level,Central_META_Search_Level,South_GDS_Search_Level,Central_GDS_Search_Level,South_Unavailable_Hotels,Central_Unavailable_Hotels,South_Demand_level2,South_price_level3,Central_Demand_level4,Central_price_level5,South_META_Search_Level2,Central_META_Search_Level3,South_GDS_Search_Level2,Central_GDS_Search_Level3,SOUTH_Search_Level,CENTRAL_Search_Level,_Demand_level,price_level,Central_Flight_level_6,META_Search_Demand_Level,Unavailable_Hotels,Overall_Search_Demand_Level,_file_name,"_file_date DATE,",_processed_timestamp,_date_updated
10/25/2022,02/13/2023,Very high,Sold out,Sold out,Very high,High,623,Very high,High,Normal,Higher,Normal,Normal,Normal,12%,3%,5,6,5,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.0,5.5,2,#DIV/0!,0.1,#N/A,,,,
10/25/2022,02/14/2023,Very high,Sold out,Sold out,Very high,High,637,Very high,High,Normal,Higher,Normal,Normal,Normal,19%,3%,5,6,5,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.0,5.5,2,#DIV/0!,0.1,#N/A,,,,
10/25/2022,02/15/2023,Very high,Sold out,Sold out,Very high,High,579,High,High,Normal,Higher,Normal,Normal,Normal,16%,3%,5,6,5,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.0,5.5,2,#DIV/0!,0.1,#N/A,,,,
10/25/2022,02/16/2023,Very high,Sold out,Sold out,Very high,High,780,Normal,High,Normal,Higher,Normal,Normal,Normal,23%,8%,5,6,5,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.0,5.5,2,#DIV/0!,0.2,#N/A,,,,
10/25/2022,02/17/2023,Very high,Sold out,Sold out,Very high,Very high,604,Very high,Very high,Higher,Higher,Normal,Normal,Normal,28%,11%,6,6,6,6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.0,6.0,3,#DIV/0!,0.2,#N/A,,,,
10/25/2022,02/18/2023,Very high,Sold out,Sold out,Very high,Very high,604,Very high,Very high,Higher,Higher,Higher,Normal,Normal,33%,16%,6,6,6,6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.0,6.0,3,#DIV/0!,0.2,#N/A,,,,
10/25/2022,02/19/2023,Very high,Sold out,Sold out,Very high,Very high,499,Elevated,High,Higher,Higher,Higher,Normal,Normal,19%,11%,6,6,6,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.0,5.5,3,#DIV/0!,0.1,#N/A,,,,
10/25/2022,02/20/2023,Very high,Sold out,Sold out,Very high,Very high,545,High,Very high,Higher,Higher,Higher,Normal,Normal,12%,3%,6,6,6,6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.0,6.0,3,#DIV/0!,0.1,#N/A,,,,
10/25/2022,02/21/2023,Very high,Sold out,Sold out,Very high,Very high,479,Elevated,Very high,Higher,Higher,Higher,Normal,Normal,14%,3%,6,6,6,6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.0,6.0,3,#DIV/0!,0.1,#N/A,,,,
10/25/2022,02/22/2023,Very high,Sold out,Sold out,Very high,Very high,579,Very high,Very high,Higher,Normal,Higher,Normal,Normal,14%,5%,6,6,6,6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.0,6.0,3,#DIV/0!,0.1,#N/A,,,,
10/25/2022,02/23/2023,Very high,Sold out,Sold out,Very high,Very high,599,Very high,Very high,Normal,Normal,Higher,Normal,Normal,12%,5%,6,6,6,6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.0,6.0,2,#DIV/0!,0.1,#N/A,,,,
10/25/2022,02/24/2023,Very high,Sold out,Sold out,Very high,Very high,604,Very high,Very high,Normal,Normal,Higher,Normal,Normal,14%,5%,6,6,6,6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.0,6.0,2,#DIV/0!,0.1,#N/A,,,,
10/25/2022,02/25/2023,Very high,Sold out,Sold out,Very high,Very high,604,Very high,Very high,Normal,Normal,Lower,Normal,Normal,19%,5%,6,6,6,6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.0,6.0,2,#DIV/0!,0.1,#N/A,,,,
10/25/2022,02/26/2023,High,Sold out,Sold out,High,High,629,Very high,High,Normal,Lower,Normal,Normal,Normal,9%,3%,5,5,5,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.0,5.0,2,#DIV/0!,0.1,#N/A,,,,
10/25/2022,02/27/2023,High,Sold out,Sold out,High,High,623,Very high,High,Normal,Lower,Lower,Normal,Normal,9%,3%,5,5,5,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.0,5.0,2,#DIV/0!,0.1,#N/A,,,,
10/25/2022,02/28/2023,High,Sold out,Sold out,High,High,637,Very high,High,Normal,Normal,Lower,Normal,Normal,12%,3%,5,5,5,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.0,5.0,2,#DIV/0!,0.1,#N/A,,,,
10/25/2022,03/01/2023,High,Sold out,Sold out,High,High,579,Very high,High,Normal,Normal,Normal,Normal,Normal,14%,3%,5,5,5,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.0,5.0,2,#DIV/0!,0.1,#N/A,,,,
10/25/2022,03/02/2023,High,Sold out,Sold out,High,High,554,High,High,Normal,Normal,Normal,Normal,Normal,9%,5%,5,5,5,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.0,5.0,2,#DIV/0!,0.1,#N/A,,,,
10/25/2022,03/03/2023,Very high,Sold out,Sold out,Very high,Very high,604,Very high,Very high,Normal,Normal,Normal,Normal,Normal,12%,8%,6,6,6,6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.0,6.0,2,#DIV/0!,0.1,#N/A,,,,
10/25/2022,03/04/2023,Very high,Sold out,Sold out,Very high,Very high,499,Elevated,Very high,Normal,Normal,Normal,Normal,Normal,16%,11%,6,6,6,6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.0,6.0,2,#DIV/0!,0.1,#N/A,,,,
10/25/2022,03/05/2023,High,Sold out,Sold out,High,High,397,Low,High,Normal,Normal,Lower,Normal,Normal,7%,5%,5,5,5,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.0,5.0,2,#DIV/0!,0.1,#N/A,,,,
10/25/2022,03/06/2023,High,Sold out,Sold out,High,High,410,Low,High,Normal,Normal,Lower,Normal,Normal,7%,5%,5,5,5,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.0,5.0,2,#DIV/0!,0.1,#N/A,,,,
10/25/2022,03/07/2023,High,Sold out,Sold out,High,High,408,Low,High,Normal,Normal,Lower,Normal,Normal,9%,5%,5,5,5,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.0,5.0,2,#DIV/0!,0.1,#N/A,,,,
10/25/2022,03/08/2023,High,Sold out,Sold out,High,High,431,Normal,High,Normal,Normal,Lower,Normal,Normal,7%,5%,5,5,5,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.0,5.0,2,#DIV/0!,0.1,#N/A,,,,
10/25/2022,03/09/2023,High,Sold out,Sold out,High,High,410,Low,High,Normal,Normal,Lower,Normal,Normal,9%,5%,5,5,5,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.0,5.0,2,#DIV/0!,0.1,#N/A,,,,
10/25/2022,03/10/2023,Very high,Sold out,Sold out,Very high,Very high,528,High,Very high,Normal,Normal,Lower,Normal,Normal,9%,8%,6,6,6,6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.0,6.0,2,#DIV/0!,0.1,#N/A,,,,
10/25/2022,03/11/2023,Very high,Sold out,Sold out,Very high,Very high,593,Very high,Very high,Normal,Normal,Normal,Normal,Normal,12%,8%,6,6,6,6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.0,6.0,2,#DIV/0!,0.1,#N/A,,,,
10/25/2022,03/12/2023,High,Sold out,Sold out,High,Very high,408,Low,High,Higher,Normal,Higher,Normal,Normal,7%,5%,6,5,6,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.0,5.0,3,#DIV/0!,0.1,#N/A,,,,
10/25/2022,03/13/2023,Very high,Sold out,Sold out,High,Very high,413,Low,High,Higher,Higher,Higher,Normal,Normal,9%,5%,6,5,6,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.0,5.0,3,#DIV/0!,0.1,#N/A,,,,
10/25/2022,03/14/2023,Very high,Sold out,Sold out,High,Very high,419,Low,Very high,Higher,Normal,Higher,Normal,Normal,7%,5%,6,5,6,6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.0,5.5,3,#DIV/0!,0.1,#N/A,,,,
10/25/2022,03/15/2023,High,Sold out,Sold out,High,Very high,420,Low,High,Higher,Normal,Higher,Normal,Normal,7%,5%,6,5,6,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.0,5.0,3,#DIV/0!,0.1,#N/A,,,,
10/25/2022,03/16/2023,High,Sold out,Sold out,High,Very high,407,Low,High,Normal,Normal,Higher,Normal,Normal,7%,5%,6,5,6,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.0,5.0,2,#DIV/0!,0.1,#N/A,,,,
10/25/2022,03/17/2023,Very high,Sold out,Sold out,Very high,Very high,448,Normal,Very high,Normal,Normal,Higher,Normal,Normal,9%,8%,6,6,6,6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.0,6.0,2,#DIV/0!,0.1,#N/A,,,,
10/25/2022,03/18/2023,Very high,Sold out,Sold out,Very high,Very high,589,Very high,Very high,Normal,Normal,Normal,Normal,Normal,14%,8%,6,6,6,6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.0,6.0,2,#DIV/0!,0.1,#N/A,,,,
10/25/2022,03/19/2023,High,Sold out,Sold out,High,High,412,Low,High,Normal,Normal,Normal,Normal,Normal,5%,5%,5,5,5,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.0,5.0,2,#DIV/0!,0.0,#N/A,,,,
10/25/2022,03/20/2023,High,Sold out,Sold out,High,High,409,Low,High,Normal,Normal,Normal,Normal,Normal,5%,5%,5,5,5,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.0,5.0,2,#DIV/0!,0.0,#N/A,,,,
10/25/2022,03/21/2023,High,Sold out,Sold out,High,Very high,449,Normal,Very high,Normal,Normal,Normal,Normal,Normal,5%,8%,6,5,6,6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.0,5.5,2,#DIV/0!,0.1,#N/A,,,,
10/25/2022,03/22/2023,High,Sold out,Sold out,High,Very high,449,Normal,Very high,Normal,Normal,Normal,Normal,Normal,5%,13%,6,5,6,6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.0,5.5,2,#DIV/0!,0.1,#N/A,,,,
10/25/2022,03/23/2023,High,Sold out,Sold out,High,Very high,449,Normal,Very high,Normal,Normal,Normal,Normal,Normal,5%,16%,6,5,6,6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.0,5.5,2,#DIV/0!,0.1,#N/A,,,,
10/25/2022,03/24/2023,Very high,Sold out,Sold out,Very high,Very high,449,Normal,Very high,Normal,Normal,Normal,Normal,Normal,7%,18%,6,6,6,6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.0,6.0,2,#DIV/0!,0.1,#N/A,,,,
10/25/2022,03/25/2023,Very high,Sold out,Sold out,Very high,Very high,642,Very high,Very high,Normal,Normal,Normal,Normal,Normal,7%,18%,6,6,6,6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.0,6.0,2,#DIV/0!,0.1,#N/A,,,,
10/25/2022,03/26/2023,Elevated,Sold out,Sold out,High,Very high,489,Elevated,Very high,Lower,Normal,Lower,Normal,Normal,5%,13%,6,5,6,6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.0,5.5,1,#DIV/0!,0.1,#N/A,,,,
10/25/2022,03/27/2023,Elevated,Sold out,Sold out,High,High,404,Low,High,Normal,Normal,Lower,Normal,Normal,5%,5%,5,5,5,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.0,5.0,2,#DIV/0!,0.0,#N/A,,,,
10/25/2022,03/28/2023,Elevated,Sold out,Sold out,Elevated,High,409,Low,High,Normal,Normal,Lower,Normal,Normal,5%,5%,5,4,5,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.0,4.5,2,#DIV/0!,0.0,#N/A,,,,
10/25/2022,03/29/2023,Elevated,Sold out,Sold out,Elevated,High,413,Low,High,Normal,Normal,Lower,Normal,Normal,7%,5%,5,4,5,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.0,4.5,2,#DIV/0!,0.1,#N/A,,,,
10/25/2022,03/30/2023,High,Sold out,Sold out,High,High,408,Low,High,Normal,Normal,Lower,Normal,Normal,5%,5%,5,5,5,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.0,5.0,2,#DIV/0!,0.0,#N/A,,,,
10/25/2022,03/31/2023,Very high,Sold out,Sold out,Very high,Very high,517,Elevated,Very high,Normal,Normal,Lower,Normal,Normal,7%,8%,6,6,6,6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.0,6.0,2,#DIV/0!,0.1,#N/A,,,,
10/25/2022,04/01/2023,Very high,Sold out,Sold out,Very high,High,464,Normal,High,Normal,Normal,Normal,Normal,Normal,7%,11%,5,6,5,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.0,5.5,2,#DIV/0!,0.1,#N/A,,,,
10/25/2022,04/02/2023,Elevated,Sold out,Sold out,Elevated,Elevated,399,Low,Elevated,Normal,Normal,Normal,Normal,Normal,5%,8%,4,4,4,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.0,4.0,2,#DIV/0!,0.1,#N/A,,,,
10/25/2022,04/03/2023,Elevated,Sold out,Sold out,Elevated,High,409,Low,Elevated,Normal,Normal,Higher,Normal,Normal,5%,8%,5,4,5,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.0,4.0,2,#DIV/0!,0.1,#N/A,,,,
10/25/2022,04/04/2023,Elevated,Sold out,Sold out,Elevated,High,400,Low,Elevated,Normal,Normal,Higher,Normal,Normal,5%,8%,5,4,5,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.0,4.0,2,#DIV/0!,0.1,#N/A,,,,
10/25/2022,04/05/2023,High,Sold out,Sold out,Elevated,Very high,417,Low,Elevated,Higher,Normal,Higher,Normal,Normal,5%,8%,6,4,6,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.0,4.0,3,#DIV/0!,0.1,#N/A,,,,
10/25/2022,04/06/2023,High,Sold out,Sold out,Elevated,High,401,Low,Elevated,Higher,Normal,Higher,Normal,Normal,5%,8%,5,4,5,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.0,4.0,3,#DIV/0!,0.1,#N/A,,,,
10/25/2022,04/07/2023,Very high,Sold out,Sold out,High,Very high,339,Low,Elevated,Higher,Higher,Higher,Normal,Normal,5%,13%,6,5,6,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,6.0,4.5,3,#DIV/0!,0.1,#N/A,,,,
10/25/2022,04/08/2023,Very high,Sold out,Sold out,High,High,339,Low,Elevated,Higher,Normal,Higher,Normal,Normal,7%,13%,5,5,5,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.0,4.5,3,#DIV/0!,0.1,#N/A,,,,
10/25/2022,04/09/2023,High,Sold out,Sold out,Elevated,Elevated,299,Very low,Normal,Higher,Normal,Higher,Normal,Normal,5%,5%,4,4,4,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.0,3.5,3,#DIV/0!,0.0,#N/A,,,,
10/25/2022,04/10/2023,Elevated,Sold out,Sold out,Normal,High,401,Low,Elevated,Higher,Normal,Normal,Normal,Normal,5%,5%,5,3,5,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.0,3.5,3,#DIV/0!,0.0,#N/A,,,,
10/25/2022,04/11/2023,Elevated,Sold out,Sold out,Normal,High,422,Normal,Elevated,Higher,Normal,Normal,Normal,Normal,5%,5%,5,3,5,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.0,3.5,3,#DIV/0!,0.0,#N/A,,,,
10/25/2022,04/12/2023,Normal,Sold out,Sold out,Normal,High,532,High,Elevated,Normal,Normal,Normal,Normal,Normal,5%,5%,5,3,5,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.0,3.5,2,#DIV/0!,0.0,#N/A,,,,
10/25/2022,04/13/2023,Normal,Sold out,Sold out,Normal,High,531,High,Elevated,Normal,Normal,Normal,Normal,Normal,12%,5%,5,3,5,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.0,3.5,2,#DIV/0!,0.1,#N/A,,,,
10/25/2022,04/14/2023,Elevated,Sold out,Sold out,Elevated,High,438,Normal,High,Normal,Normal,Normal,Normal,Normal,16%,8%,5,4,5,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.0,4.5,2,#DIV/0!,0.1,#N/A,,,,
10/25/2022,04/15/2023,Elevated,Sold out,Sold out,Elevated,High,573,Very high,High,Normal,Normal,Normal,Normal,Normal,16%,8%,5,4,5,5,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,5.0,4.5,2,#DIV/0!,0.1,#N/A,,,,
10/25/2022,04/16/2023,Low,509,Very high,Low,Elevated,629,Very high,Elevated,Normal,Normal,Normal,Normal,Normal,2%,5%,4,2,4,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.0,3.0,2,#DIV/0!,0.0,#N/A,,,,
10/25/2022,04/17/2023,Low,509,Very high,Low,Normal,623,Very high,Normal,Normal,Normal,Normal,Normal,Normal,2%,5%,3,2,3,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.0,2.5,2,#DIV/0!,0.0,#N/A,,,,
10/25/2022,04/18/2023,Low,509,Very high,Low,Normal,637,Very high,Elevated,Normal,Normal,Normal,Normal,Normal,5%,5%,3,2,3,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.0,3.0,2,#DIV/0!,0.0,#N/A,,,,
10/25/2022,04/19/2023,Normal,509,Very high,Low,Normal,427,Normal,Normal,Normal,Normal,Normal,Normal,Normal,5%,5%,3,2,3,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.0,2.5,2,#DIV/0!,0.0,#N/A,,,,
10/25/2022,04/20/2023,Normal,509,Very high,Low,Normal,427,Normal,Normal,Normal,Normal,Normal,Normal,Normal,5%,8%,3,2,3,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.0,2.5,2,#DIV/0!,0.1,#N/A,,,,
10/25/2022,04/21/2023,Normal,609,Very high,Normal,Elevated,604,Very high,Elevated,Normal,Normal,Normal,Normal,Normal,7%,11%,4,3,4,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.0,3.5,2,#DIV/0!,0.1,#N/A,,,,
10/25/2022,04/22/2023,Elevated,609,Very high,Elevated,Elevated,604,Very high,Elevated,Normal,Normal,Normal,Normal,Normal,2%,11%,4,4,4,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.0,4.0,2,#DIV/0!,0.1,#N/A,,,,
10/25/2022,04/23/2023,Low,509,Very high,Low,Normal,555,Very high,Normal,Normal,Normal,Normal,Normal,Normal,0%,5%,3,2,3,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.0,2.5,2,#DIV/0!,0.0,#N/A,,,,
10/25/2022,04/24/2023,Low,509,Very high,Low,Normal,465,Elevated,Normal,Normal,Normal,Normal,Normal,Normal,0%,5%,3,2,3,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.0,2.5,2,#DIV/0!,0.0,#N/A,,,,
10/25/2022,04/25/2023,Low,509,Very high,Low,Normal,536,High,Normal,Normal,Normal,Normal,Normal,Normal,2%,5%,3,2,3,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.0,2.5,2,#DIV/0!,0.0,#N/A,,,,
10/25/2022,04/26/2023,Low,509,Very high,Low,Normal,579,Very high,Normal,Normal,Normal,Normal,Normal,Normal,2%,3%,3,2,3,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.0,2.5,2,#DIV/0!,0.0,#N/A,,,,
10/25/2022,04/27/2023,Low,509,Very high,Low,Normal,604,Very high,Normal,Normal,Normal,Normal,Normal,Normal,2%,3%,3,2,3,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.0,2.5,2,#DIV/0!,0.0,#N/A,,,,
10/25/2022,04/28/2023,Elevated,609,Very high,Elevated,Normal,565,Very high,Normal,Normal,Normal,Normal,Normal,Normal,2%,5%,3,4,3,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.0,3.5,2,#DIV/0!,0.0,#N/A,,,,
10/25/2022,04/29/2023,Elevated,609,Very high,Elevated,Normal,414,Low,Elevated,Normal,Normal,Normal,Normal,Normal,5%,8%,3,4,3,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.0,4.0,2,#DIV/0!,0.1,#N/A,,,,
10/25/2022,04/30/2023,Low,509,Very high,Low,Low,382,Low,Low,Normal,Normal,Normal,Normal,Normal,0%,3%,2,2,2,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.0,2.0,2,#DIV/0!,0.0,#N/A,,,,
